id,region,country,location,stadium_name,total_capacity,sport_played
1,Africa,Algeria,Algiers,Stade du 5-juillet-1962,"64,000",Football
1,Africa,Algeria,Bir el-Djir,Stade olympique d’Oran,"40,000",Football
1,Africa,Algeria,Biskra,Stade du 18-février,"35,000",Football
1,Africa,Algeria,Skikda,Stade du 20-août-1955,"30,000",Football
1,Africa,Algeria,Bouïra,Stade Rabah-Bitat,"30,000",Football
1,Africa,Algeria,Relizane,Stade Tahar-Zoughari,"30,000",Football
1,Africa,Algeria,Sétif,Stade du 8-mai-1945,"25,000",Football
1,Africa,Algeria,Mascara,Stade de l’Unité africaine,"22,000",Football
1,Africa,Algeria,Batna,Stade 1er-novembre-1954,"20,000",Football
1,Africa,Algeria,Béchar,Stade du 20-août-1955,"20,000",Football
1,Africa,Algeria,Tlemcen,Stade Akid-Lotfi,"18,000",Football
1,Africa,Algeria,Béjaïa,Stade de l’Unité maghrébine,"18,000",Football
1,Africa,Algeria,Chlef,Stade olympique de Mohamed-Boumezrag,"18,000",Football
1,Africa,Algeria,Algiers,Stade Omar-Hamadi,"17,000",Football
1,Africa,Algeria,Sig,Stade Abdelkrim-Kerroum,"15,000",Football
1,Africa,Algeria,Tiaret,Stade Ahmed-Kaïd,"14,000",Football
1,Africa,Algeria,Constantine,Stade Benabdelmalek-Ramdane,"13,000",Football
1,Africa,Algeria,TÃ©bessa,Stade du 4-mars,"11,000",Football
1,Africa,Algeria,Algiers,Stade Omar-Benrabah,"11,000",Football
1,Africa,Algeria,AÃ¯n TÃ©mouchent,Stade Omar-Oucief,"11,000",Football
1,Africa,Algeria,Mostaganem,Stade Mohamed-Bensaïd,"10,000",Football
1,Africa,Algeria,Annaba,Stade municipal Colonel-Chabou-Abdelkader,"10,000",Football
2,Africa,Angola,Benguela,Estádio Nacional de Ombaka,"35,000",Football
2,Africa,Angola,Lubango,Estádio Nacional da Tundavala,"20,000",Football
2,Africa,Angola,Cabinda,Estádio Nacional do Chiazi,"20,000",Football
2,Africa,Angola,Kilamba,Pavilhão Multiusos do Kilamba,"12,000",Basketball
2,Africa,Angola,Caála,Estádio Mártires da Canhala,"11,000",Football
3,Africa,Benin,Porto-Novo,Stade Charles de Gaulle,"15,000",Football
4,Africa,Botswana,Francistown,Obed Itani Chilume Stadium,"26,000",Football
4,Africa,Botswana,Lobatse,Lobatse Stadium,"20,000",Football
5,Africa,Burkina Faso,Ouagadougou,Stade du 4-août-1983,"60,000",Football
6,Africa,Burundi,Gitega,Stade Ingoma,"20,000",Football
7,Africa,Cabo Verde,Praia,Estádio Nacional de Cabo Verde,"15,000",Football
8,Africa,Cameroon,Yaoundé,Stade omnisport Paul Biya,"60,000",Football
8,Africa,Cameroon,Douala,Stade de Japoma,"50,000",Football
8,Africa,Cameroon,Yaoundé,Stade Ahmadou Ahidjo,"42,000",Football
8,Africa,Cameroon,Douala,Stade de la Réunification,"39,000",Football
8,Africa,Cameroon,Garoua,Stade Roumdé Adjia,"30,000",Football
8,Africa,Cameroon,Limbé,Stade omnisport de Limbé,"20,000",Football
8,Africa,Cameroon,Bafoussam,Stade omnisports de Bafoussam,"20,000",Football
9,Africa,Central African Republic,Bangui,Stade Barthélemy Boganda,"50,000",Football
10,Africa,Chad,N’Djamena,Stade omnisports Idriss Mahamat Ouya,"20,000",Football
11,Africa,Congo,Brazzaville,Stade municipal de Kintélé,"60,000",Football
11,Africa,Congo,Ouesso,Stade de Ouesso,"16,000",Football
11,Africa,Congo,Pointe-Noire,Stade municipal,"13,000",Football
11,Africa,Congo,Owando,Stade omnisport Marien Ngouabi d’Owando,"13,000",Football
12,Africa,Côte d’Ivoire,Abidjan,Stade olympique Alassane Ouattara,"60,000",Football
12,Africa,Côte d’Ivoire,Yamoussoukro,Stade de Yamoussoukro,"20,000",Football
12,Africa,Côte d’Ivoire,Abidjan,Stade Robert Champroux,"10,000",Football
13,Africa,Djibouti,Djibouti,Stade El-Hadj Hassan Gouled Aptidon,"20,000",Football
14,Africa,DR Congo,Lubumbashi,Stade TP Mazembe,"18,000",Football
14,Africa,DR Congo,Kalemie,Stade Joseph Kabila Kabange,"14,000",Football
14,Africa,DR Congo,Goma,Stade de l’Unité,"10,000",Football
14,Africa,DR Congo,Kamina,Stade Joseph Kabila Kabange,"10,000",Football
14,Africa,DR Congo,Kindu,Stade Joseph Kabila Kabange,"10,000",Football
15,Africa,Egypt,Borg el-Arab,Borg el-Arab Stadium,"86,000",Football
15,Africa,Egypt,Cairo,Cairo International Stadium,"74,000",Football
15,Africa,Egypt,Cairo,30 June Stadium,"30,000",Football
15,Africa,Egypt,Cairo,Al-Ahly WE al-Salam Stadium,"30,000",Football
15,Africa,Egypt,Al-Fayoum,Al-Fayoum Stadium,"20,000",Football
15,Africa,Egypt,Port Said,Al-Masry Club Stadium,"18,000",Football
15,Africa,Egypt,El-Mansoura,El-Mansoura Stadium,"18,000",Football
15,Africa,Egypt,Cairo,Main Hall,"16,000",Basketball
15,Africa,Egypt,New Cairo,Petrosport Stadium,"16,000",Football
15,Africa,Egypt,Alexandria,Izz al-Din Yacoub Stadium,"15,000",Football
15,Africa,Egypt,Alexandria,Alexandria Stadium,"13,000",Football
15,Africa,Egypt,Asyut,Asyut University Stadium,"12,000",Football
15,Africa,Egypt,El-Gouna,Khaled Bichara Stadium,"12,000",Football
15,Africa,Egypt,Aswan,Aswan Stadium,"11,000",Football
