id,country,region,capital,most_popular_sport,no_stadiums
1,Algeria,Africa,Algiers,Football,22
2,Angola,Africa,Luanda,Football,5
3,Benin,Africa,Porto-Novo,Football,1
4,Botswana,Africa,Gaborone,Football,2
5,Burkina Faso,Africa,Ouagadougou,Football,1
6,Burundi,Africa,Gitega,Football,1
7,Cabo Verde,Africa,Praia,Football,1
8,Cameroon,Africa,Yaoundé,Football,7
9,Central African Republic,Africa,Bangui,Football,1
10,Chad,Africa,N’Djamena,Football,1
11,Congo,Africa,Brazzaville,Football,4
12,Côte d’Ivoire,Africa,Yamoussoukro,Football,3
13,Djibouti,Africa,Djibouti,Football,1
14,DR Congo,Africa,Kinshasa,Football,5
15,Egypt,Africa,Cairo,Football,15
16,Equatorial Guinea,Africa,Malabo,Football,3
17,Ethiopia,Africa,Addis Ababa,Football,5
18,Gabon,Africa,Libreville,Football,4
19,Gambia,Africa,Banjul,Football,1
20,Ghana,Africa,Accra,Football,4
21,Guinea,Africa,Conakry,Football,1
22,Guinea-Bissau,Africa,Bissau,Football,1
23,Kenya,Africa,Nairobi,Football,4
24,Lesotho,Africa,Maseru,Football,1
25,Liberia,Africa,Monrovia,Football,1
26,Libya,Africa,Tripoli,Football,1
27,Madagascar,Africa,Antananarivo,Football,2
28,Malawi,Africa,Lilongwe,Football,2
29,Mali,Africa,Bamako,Football,2
30,Mauritania,Africa,Nouakchott,Football,2
31,Mauritius,Africa,Port Louis,Football,1
32,Morocco,Africa,Rabat,Football,10
33,Mozambique,Africa,Maputo,Football,1
34,Namibia,Africa,Windhoek,Football,2
35,Niger,Africa,Niamey,Football,2
36,Nigeria,Africa,Abuja,Football,20
37,Rwanda,Africa,Kigali,Football,3
38,Senegal,Africa,Dakar,Football,4
39,Seychelles,Africa,Victoria,Football,1
40,Somalia,Africa,Mogadishu,Football,2
41,South Africa,Africa,Pretoria,Football,22
42,Sudan,Africa,Khartoum,Football,1
43,Tanzania,Africa,Dodoma,Football,13
44,Togo,Africa,Lomé,Football,2
45,Tunisia,Africa,Tunis,Football,5
