id,continent,country,location,stadium_name,capacity,main_use
49,Asia,Afghanistan,Kandahar,Ahmad Shahi Stadium,"20,000",Football
50,Asia,Armenia,Yerevan,Vazgen Sargsyan Republican Stadium,"14,000",Football
51,Asia,Azerbaijan,Baku,Bakı Olimpiya Stadionu,"68,000",Football
51,Asia,Azerbaijan,Baku,Tofiq Bəhramov adına Respublika Stadionu,"31,000",Football
51,Asia,Azerbaijan,Lankaran,Xəzər Lənkəran Mərkəzi Stadionu,"15,000",Football
51,Asia,Azerbaijan,Masazır,Bank Respublika Arena,"13,000",Football
51,Asia,Azerbaijan,Baku,Bakcell Arena,"11,000",Football
52,Asia,Bahrain,Riffa,Bahrain National Stadium,"24,000",Football
52,Asia,Bahrain,Isa Town,Khalifa Sports City Stadium,"15,000",Football
53,Asia,Bangladesh,Chittagong,MA Aziz Stadium,"40,000","Cricket, football"
53,Asia,Bangladesh,Faridpur,Sheikh Jamal Stadium,"30,000","Cricket, football"
53,Asia,Bangladesh,Habiganj,Habiganj Adhunik Stadium,"25,000","Cricket, football"
53,Asia,Bangladesh,Mymensingh,Rafiq Uddin Bhuiyan Stadium,"25,000","Cricket, football"
53,Asia,Bangladesh,Rangpur,Rangpur Stadium,"25,000","Cricket, football"
53,Asia,Bangladesh,Dhaka,Bangladesh Army Stadium,"20,000",Football
53,Asia,Bangladesh,Sylhet,Sylhet District Stadium,"15,000","Cricket, football"
54,Asia,Brunei,Bandar Seri Begawan,Stadium Negara Hassanal Bolkiah,"28,000",Football
55,Asia,Cambodia,Phnom Penh,Olympic Stadium,"70,000",Football
55,Asia,Cambodia,Phnom Penh,Morodok Techo National Stadium,"60,000",Football
57,Asia,Cyprus,Nicosia,GSP Stadium,"22,000",Football
58,Asia,DPR Korea,Pyongyang,Rungrado 1st of May Stadium,"1,14,000","Football, mass games"
58,Asia,DPR Korea,Pyongyang,Kim Il-sung Stadium,"50,000",Football
59,Asia,Georgia,Tbilisi,Boris Paichadze Dinamo Arena,"54,000",Football
59,Asia,Georgia,Tbilisi,Mikheil Meskhi Stadium,"27,000",Football
59,Asia,Georgia,Batumi,Batumi Stadium,"20,000",Football
61,Asia,Indonesia,Jakarta,Jakarta International Stadium,"82,000",Football
61,Asia,Indonesia,Jakarta,Stadion Utama Gelora Bung Karno,"77,000",Football
61,Asia,Indonesia,Sleman,Stadion Maguwoharjo,"50,000",Football
