id,region,country,location,stadium_name,total_capacity,sport_played
90,Europe,Albania,Tirana,Air Albania Stadium,22000,Football
90,Europe,Albania,Shkodër,Stadiumi “Loro Boriçi”,16000,Football
90,Europe,Albania,Durrës,Stadiumi “Niko Dovana”,12000,Football
91,Europe,Austria,Vienna,Ernst-Happel-Stadion,50000,Football
91,Europe,Austria,Wals-Siezenheim,Red Bull Arena,31000,Football
91,Europe,Austria,Klagenfurt am Wörthersee,Wörthersee Stadion,30000,Football
91,Europe,Austria,Vienna,Allianz Stadion,28000,Football
91,Europe,Austria,Vienna,Generali Arena,17000,Football
91,Europe,Austria,Graz,Merkur Arena,16000,Football
91,Europe,Austria,Innsbruck,Tivoli Stadion Tirol,16000,"American football, football"
91,Europe,Austria,Maria Enzersdorf,BSFZ-Arena,10000,Football
92,Europe,Belarus,Minsk,Dinamo National Olympic Stadium,22000,Football
92,Europe,Belarus,Minsk,Minsk-Arena,15000,"Basketball, ice hockey"
92,Europe,Belarus,Gomel,Central Stadium,14000,Football
92,Europe,Belarus,Borisov,Borisov-Arena,13000,Football
93,Europe,Belgium,Brussels,Stade Roi Baudouin,50000,Football
93,Europe,Belgium,Liège,Stade Maurice Dufrasne,30000,Football
93,Europe,Belgium,Bruges,Jan Breydelstadion,29000,Football
93,Europe,Belgium,Genk,Cegeka Arena,23000,Football
93,Europe,Belgium,Brussels,Lotto Park,22000,Football
93,Europe,Belgium,Ghent,Ghelamco Arena,20000,Football
93,Europe,Belgium,Mechelen,AFAS Stadion,16000,Football
93,Europe,Belgium,Charleroi,Stade du Pays de Charleroi,15000,Football
93,Europe,Belgium,Lier,Herman Vanderpoortenstadion,14000,Football
93,Europe,Belgium,Sint-Truiden,Stayen,14000,Football
93,Europe,Belgium,Lokeren,Daknamstadion,12000,Football
93,Europe,Belgium,Waregem,Elindus Arena,12000,Football
93,Europe,Belgium,Brussels,Stade Edmond Machtens,12000,Football
93,Europe,Belgium,Harelbeke,Stedelijk Forestiersstadion,10000,Football
94,Europe,Bosnia and Herzegovina,Sarajevo,Olimpijski stadion Koševo – Asim Ferhatović-Hase,34000,Football
94,Europe,Bosnia and Herzegovina,Zenica,Stadion Bilino polje,15000,Football
95,Europe,Bulgaria,Sofia,Vasil Levski National Stadium,44000,Football
95,Europe,Bulgaria,Burgas,efbet Arena,18000,Football
95,Europe,Bulgaria,Veliko Tarnovo,Ivaylo Stadium,18000,Football
95,Europe,Bulgaria,Sofia,Arena Armeec Sofia,12000,Multi-purpose
95,Europe,Bulgaria,Razgrad,Huvepharma Arena,10000,Football
96,Europe,Croatia,Zagreb,Arena Zagreb,15000,Handball
96,Europe,Croatia,Varaždin,Stadion Anđelko Herjavec,10000,Football
97,Europe,Czech Republic,Prague,Fortuna Arena,19000,Football
97,Europe,Czech Republic,Prague,Generali Česká pojišťovna Arena,19000,Football
97,Europe,Czech Republic,Prague,Stadion Evžena Rošického,19000,Football
97,Europe,Czech Republic,Teplice,AGC Aréna Na Stínadlech,18000,Football
97,Europe,Czech Republic,Prague,O2 arena,17000,Ice hockey
97,Europe,Czech Republic,Ostrava,Městský stadion v Ostravě-Vítkovicích,15000,Football
97,Europe,Czech Republic,Olomouc,Andrův stadion,12000,Football
97,Europe,Czech Republic,Plzeň,Doosan Arena,11000,Football
97,Europe,Czech Republic,Pardubice,enteria arena,10000,Ice hockey
98,Europe,Denmark,Copenhagen,Parken,38000,Football
98,Europe,Denmark,Brøndby,Brøndby Stadion,28000,Football
98,Europe,Denmark,Aarhus,Ceres Park,19000,Football
98,Europe,Denmark,Esbjerg,Blue Water Arena,16000,Football
98,Europe,Denmark,Odense,Nature Energy Park,15000,Football
98,Europe,Denmark,Aalborg,Aalborg Portland Park,14000,Football
98,Europe,Denmark,Herning,Jyske Bank Boxen,12000,Multi-purpose
98,Europe,Denmark,Herning,MCH Arena,11000,Football
98,Europe,Denmark,Vejle,Vejle Stadion,11000,Football
98,Europe,Denmark,Horsens,CASA Arena Horsens,10000,Football
98,Europe,Denmark,Randers,Cepheus Park Randers,10000,Football
98,Europe,Denmark,Silkeborg,JYSK park,10000,Football
