id,region,country,location,stadium_name,total_capacity,sport_played
146,North America,United States,Birmingham,Legion Field,"71,000",American football
146,North America,United States,Birmingham,Protective Stadium,"47,000","American football, football"
146,North America,United States,Mobile,Ladd-Peebles Stadium,"40,000",American football
146,North America,United States,Troy,Veterans Memorial Stadium,"30,000",American football
146,North America,United States,Jacksonville,JSU Stadium,"24,000",American football
146,North America,United States,Tuscaloosa,Coleman Coliseum,"15,000","Basketball, gymnastics"
146,North America,United States,Florence,Tom Braly Municipal Stadium,"14,000",American football
146,North America,United States,Huntsville,Milton Frank Stadium,"12,000","American football, football"
146,North America,United States,Dothan,Rip Hewes Stadium,"10,000",American football
146,North America,United States,Prattville,Stanley-Jensen Stadium,"10,000","American football, football"
146,North America,United States,Glendale,State Farm Stadium,"63,000",American football
146,North America,United States,Tucson,Arizona Stadium,"50,000",American football
146,North America,United States,Phoenix,Chase Field,"48,000",Baseball
146,North America,United States,Phoenix,Footprint Center,"18,000","Basketball, indoor American football"
146,North America,United States,Tucson,McKale Memorial Center,"14,000",Basketball
146,North America,United States,Goodyear,Goodyear Ballpark,"10,000",Baseball
146,North America,United States,Chandler,Wild Horse Pass Stadium,"10,000",Football
146,North America,United States,Fayetteville,Donald W. Reynolds Razorback Stadium,"76,000",American football
146,North America,United States,Little Rock,War Memorial Stadium,"54,000","American football, football"
146,North America,United States,Fayetteville,Bud Walton Arena,"19,000",Basketball
131,North America,Bahamas,Nassau,Thomas A. Robinson National Stadium,"15,000",Football
132,North America,Barbados,Bridgetown,Kensington Oval,"11,000",Cricket
146,North America,United States,Pasadena,Rose Bowl Stadium,"92,000",American football
146,North America,United States,Los Angeles,Los Angeles Memorial Coliseum,"77,000","American football, rugby union"
146,North America,United States,Inglewood,SoFi Stadium,"70,000",American football
146,North America,United States,Santa Clara,Leviâ€™s Stadium,"68,000",American football
146,North America,United States,Los Angeles,Dodger Stadium,"56,000",Baseball
146,North America,United States,Oakland,RingCentral Coliseum,"55,000",Baseball
146,North America,United States,Stanford,Stanford Stadium,"50,000",American football
146,North America,United States,Anaheim,Angel Stadium of Anaheim,"45,000",Baseball
146,North America,United States,San Francisco,Oracle Park,"41,000",Baseball
146,North America,United States,San Diego,Petco Park,"40,000",Baseball
146,North America,United States,San Diego,Snapdragon Stadium,"35,000","American football, football, rugby union"
146,North America,United States,Carson,Dignity Health Sports Park Soccer Stadium,"27,000","American football, football"
146,North America,United States,San Luis Obispo,Alex G. Spanos Stadium,"22,000","American football, football"
146,North America,United States,Los Angeles,Banc of California Stadium,"22,000",Football
146,North America,United States,Berkeley,Edwards Stadium,"22,000",Football
146,North America,United States,Los Angeles,Crypto.com Arena,"19,000","Basketball, ice hockey"
146,North America,United States,San Francisco,Chase Center,"18,000",Basketball
146,North America,United States,San JosÃ©,PayPal Park,"18,000",Football
146,North America,United States,Sacramento,Golden 1 Center,"17,000",Basketball
146,North America,United States,Anaheim,Honda Center,"17,000",Ice hockey
146,North America,United States,Santa Barbara,Harder Stadium,"17,000",Football
146,North America,United States,San JosÃ©,SAP Center at San Jose,"17,000","Ice hockey, indoor American football"
146,North America,United States,Indian Wells,Stadium 1,"16,000",Tennis
146,North America,United States,Norwalk,Falcon Field,"12,000",American football
146,North America,United States,San Diego,Pechanga Arena,"12,000",Multi-purpose
146,North America,United States,San Diego,Viejas Arena,"12,000",Basketball
146,North America,United States,Sacramento,Heart Health Park,"11,000",Football
146,North America,United States,Fresno,Chukchansi Park,"10,000",Baseball
133,North America,Canada,Montreal,Stade olympique,"61,000",Football
